Size	Latency (us)	np	Algorithm
512	10.91	64	broadcast_chain
1024	11.7	64	broadcast_chain
2048	16.14	64	broadcast_chain
4096	22.03	64	broadcast_chain
8192	33.56	64	broadcast_chain
16384	94.29	64	broadcast_chain
32768	135.6	64	broadcast_chain
65536	255.33	64	broadcast_chain
131072	469.99	64	broadcast_chain
262144	796.47	64	broadcast_chain
524288	1441.61	64	broadcast_chain
1048576	2623.35	64	broadcast_chain
2	3.36	64	broadcast_binary_tree
4	3.11	64	broadcast_binary_tree
8	3.23	64	broadcast_binary_tree
16	3.1	64	broadcast_binary_tree
32	4.59	64	broadcast_binary_tree
64	3.8	64	broadcast_binary_tree
128	6.37	64	broadcast_binary_tree
256	5.7	64	broadcast_binary_tree
512	6.63	64	broadcast_binary_tree
1024	7.0	64	broadcast_binary_tree
2048	9.78	64	broadcast_binary_tree
4096	13.3	64	broadcast_binary_tree
8192	19.33	64	broadcast_binary_tree
16384	46.56	64	broadcast_binary_tree
32768	68.96	64	broadcast_binary_tree
65536	123.0	64	broadcast_binary_tree
131072	232.53	64	broadcast_binary_tree
262144	447.39	64	broadcast_binary_tree
524288	824.03	64	broadcast_binary_tree
1048576	1484.26	64	broadcast_binary_tree
2	2.18	64	scatter_flat
4	1.96	64	scatter_flat
8	1.94	64	scatter_flat
16	1.94	64	scatter_flat
32	2.56	64	scatter_flat
64	2.47	64	scatter_flat
128	4.93	64	scatter_flat
256	4.22	64	scatter_flat
512	4.62	64	scatter_flat
1024	5.12	64	scatter_flat
2048	8.08	64	scatter_flat
4096	12.85	64	scatter_flat
8192	21.44	64	scatter_flat
16384	38.96	64	scatter_flat
32768	70.68	64	scatter_flat
65536	150.71	64	scatter_flat
131072	329.7	64	scatter_flat
262144	792.25	64	scatter_flat
524288	1660.8	64	scatter_flat
1048576	2903.0	64	scatter_flat
2	7.57	64	scatter_basic_linear
4	7.31	64	scatter_basic_linear
8	7.31	64	scatter_basic_linear
16	7.75	64	scatter_basic_linear
32	9.06	64	scatter_basic_linear
64	9.02	64	scatter_basic_linear
128	25.0	64	scatter_basic_linear
256	23.4	64	scatter_basic_linear
512	23.47	64	scatter_basic_linear
1024	26.71	64	scatter_basic_linear
2048	40.63	64	scatter_basic_linear
4096	54.71	64	scatter_basic_linear
8192	81.73	64	scatter_basic_linear
16384	105.55	64	scatter_basic_linear
32768	230.21	64	scatter_basic_linear
65536	508.69	64	scatter_basic_linear
131072	1049.02	64	scatter_basic_linear
262144	2044.0	64	scatter_basic_linear
524288	4263.17	64	scatter_basic_linear
1048576	6819.8	64	scatter_basic_linear
2	6.54	64	scatter_binomial
4	5.65	64	scatter_binomial
8	5.65	64	scatter_binomial
16	6.32	64	scatter_binomial
32	7.84	64	scatter_binomial
64	7.71	64	scatter_binomial
128	11.09	64	scatter_binomial
256	9.75	64	scatter_binomial
512	10.94	64	scatter_binomial
1024	11.73	64	scatter_binomial
2048	16.24	64	scatter_binomial
4096	22.12	64	scatter_binomial
8192	33.7	64	scatter_binomial
16384	94.7	64	scatter_binomial
32768	149.72	64	scatter_binomial
65536	250.72	64	scatter_binomial
131072	451.87	64	scatter_binomial
262144	781.17	64	scatter_binomial
524288	1384.71	64	scatter_binomial
1048576	2665.47	64	scatter_binomial
2	4.18	128	broadcast_flat
4	3.39	128	broadcast_flat
8	4.02	128	broadcast_flat
16	3.44	128	broadcast_flat
32	3.92	128	broadcast_flat
64	4.45	128	broadcast_flat
128	6.53	128	broadcast_flat
256	6.9	128	broadcast_flat
512	7.62	128	broadcast_flat
1024	8.68	128	broadcast_flat
2048	11.27	128	broadcast_flat
4096	15.41	128	broadcast_flat
8192	25.21	128	broadcast_flat
16384	236.52	128	broadcast_flat
32768	91.76	128	broadcast_flat
65536	280.42	128	broadcast_flat
131072	577.51	128	broadcast_flat
262144	1251.39	128	broadcast_flat
524288	2547.04	128	broadcast_flat
1048576	4252.89	128	broadcast_flat
2	12.74	128	broadcast_chain
4	13.05	128	broadcast_chain
8	14.04	128	broadcast_chain
16	12.93	128	broadcast_chain
32	15.03	128	broadcast_chain
64	16.36	128	broadcast_chain
128	19.75	128	broadcast_chain
256	19.13	128	broadcast_chain
512	21.19	128	broadcast_chain
1024	24.81	128	broadcast_chain
2048	31.43	128	broadcast_chain
4096	41.06	128	broadcast_chain
8192	64.27	128	broadcast_chain
16384	258.02	128	broadcast_chain
32768	244.23	128	broadcast_chain
65536	428.78	128	broadcast_chain
131072	724.35	128	broadcast_chain
262144	1357.03	128	broadcast_chain
524288	2415.94	128	broadcast_chain
1048576	4507.75	128	broadcast_chain
2	4.61	128	broadcast_binary_tree
4	3.61	128	broadcast_binary_tree
8	3.63	128	broadcast_binary_tree
16	3.58	128	broadcast_binary_tree
32	4.92	128	broadcast_binary_tree
64	4.38	128	broadcast_binary_tree
128	6.83	128	broadcast_binary_tree
256	6.75	128	broadcast_binary_tree
512	7.67	128	broadcast_binary_tree
1024	8.37	128	broadcast_binary_tree
2048	11.92	128	broadcast_binary_tree
4096	16.81	128	broadcast_binary_tree
8192	26.03	128	broadcast_binary_tree
16384	61.55	128	broadcast_binary_tree
32768	90.75	128	broadcast_binary_tree
65536	161.73	128	broadcast_binary_tree
131072	312.8	128	broadcast_binary_tree
262144	602.05	128	broadcast_binary_tree
524288	1172.09	128	broadcast_binary_tree
1048576	1897.43	128	broadcast_binary_tree
2	4.18	128	scatter_flat
4	3.51	128	scatter_flat
8	3.52	128	scatter_flat
16	3.44	128	scatter_flat
32	4.09	128	scatter_flat
64	4.81	128	scatter_flat
128	6.67	128	scatter_flat
256	6.66	128	scatter_flat
512	7.33	128	scatter_flat
1024	8.14	128	scatter_flat
2048	11.56	128	scatter_flat
4096	16.03	128	scatter_flat
8192	27.61	128	scatter_flat
16384	234.4	128	scatter_flat
32768	92.01	128	scatter_flat
65536	277.81	128	scatter_flat
131072	589.28	128	scatter_flat
262144	1244.79	128	scatter_flat
524288	2258.75	128	scatter_flat
1048576	4134.0	128	scatter_flat
2	16.89	128	scatter_basic_linear
4	16.62	128	scatter_basic_linear
8	16.05	128	scatter_basic_linear
